type	ID	Name	Definition	Synonyms	URI	is obsolete
class	OBI_0000112	specimen role	a role borne by a material entity that is gained during a specimen collection process and that can be realized by use of the specimen in an investigation		http://purl.obolibrary.org/obo/OBI_0000112	false
class	OBI_0000116	worker role	a personnel role played by a party who executes a component of the study plan; this can occur before, during, after or outside the study timeline	worker	http://purl.obolibrary.org/obo/OBI_0000116	false
object property	OBI_0000124	is_supported_by_data	The relation between a data item and a conclusion where the conclusion is the output of a data interpreting process and the data item is used as an input to that process		http://purl.obolibrary.org/obo/OBI_0000124	false
class	OBI_0000151	filter paper	a device manufacture with the intent to provide a porous unsized paper used for filtering.		http://purl.obolibrary.org/obo/OBI_0000151	false
class	OBI_0000181	population	a population is a collection of individuals from the same taxonomic class living, counted or sampled at a particular site or in a particular area		http://purl.obolibrary.org/obo/OBI_0000181	false
class	OBI_0000202	investigation agent role	A role borne by an entity and that is realized in a process that is part of an investigation in which an objective is achieved. These processes include, among others: planning, overseeing, funding, reviewing.	investigator	http://purl.obolibrary.org/obo/OBI_0000202	false
class	OBI_0000245	organization	An entity that can bear roles, has members, and has a set of organization rules. Members of organizations are either organizations themselves or individual people. Members can bear specific organization member roles that are determined in the organization rules. The organization rules also determine how decisions are made on behalf of the organization by the organization members.		http://purl.obolibrary.org/obo/OBI_0000245	false
class	OBI_0000272	protocol	A plan specification which has sufficient level of detail and quantitative information to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the process.		http://purl.obolibrary.org/obo/OBI_0000272	false
class	OBI_0000274	adding a material entity into a target	is a process with the objective to place a material entity bearing the 'material to be added role' into a material bearing the 'target of material addition role'.		http://purl.obolibrary.org/obo/OBI_0000274	false
object property	OBI_0000293	has_specified_input	A relation between a planned process and a continuant participating in that process that is not created during  the process. The presence of the continuant during the process is explicitly specified in the plan specification which the process realizes the concretization of.		http://purl.obolibrary.org/obo/OBI_0000293	false
object property	OBI_0000299	has_specified_output	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.		http://purl.obolibrary.org/obo/OBI_0000299	false
object property	OBI_0000312	is_specified_output_of	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.		http://purl.obolibrary.org/obo/OBI_0000312	false
class	OBI_0000319	material to be added role	material to be added role is a protocol participant role realized by a material which is added into a material bearing the target of material addition role in a material addition process		http://purl.obolibrary.org/obo/OBI_0000319	false
class	OBI_0000338	drawing a conclusion based on data	A planned process in which data gathered in an investigation is evaluated in the context of existing knowledge with the objective to generate more general conclusions or to conclude that the data does not allow one to draw general conclusion		http://purl.obolibrary.org/obo/OBI_0000338	false
class	OBI_0000339	planning	a process of creating or modifying a plan specification		http://purl.obolibrary.org/obo/OBI_0000339	false
class	OBI_0000370	contain function	A contain function is a function to constrain a material entities location in space		http://purl.obolibrary.org/obo/OBI_0000370	false
class	OBI_0000372	material separation function	A material separation function is a function that increases the resolution between two or more material entities. The  to distinction between the entities is usually based on some associated physical quality.		http://purl.obolibrary.org/obo/OBI_0000372	false
class	OBI_0000378	filter function	A filter function is a function to prevent the flow of certain entities based on a quality or qualities of the entity while allowing entities which have different qualities to pass through		http://purl.obolibrary.org/obo/OBI_0000378	false
class	OBI_0000399	solid support function	A solid support function is a function of a device on which an entity is kept in a defined position and prevented in its movement		http://purl.obolibrary.org/obo/OBI_0000399	false
object property	OBI_0000417	achieves_planned_objective	This relation obtains between a planned process and a objective specification when the criteria specified in the objective specification are met at the end of the planned process.		http://purl.obolibrary.org/obo/OBI_0000417	false
class	OBI_0000425	averaging objective	An averaging objective is a data transformation objective where the aim is to perform mean calculations on the input of the data transformation.		http://purl.obolibrary.org/obo/OBI_0000425	false
class	OBI_0000434	adding material objective	is the specification of an objective to add a material into a target material. The adding is asymmetric in the sense that the target material largely retains its identity		http://purl.obolibrary.org/obo/OBI_0000434	false
class	OBI_0000441	assay objective	an objective specification to determine a specified type of information about an evaluated entity (the material entity bearing evaluant role)		http://purl.obolibrary.org/obo/OBI_0000441	false
class	OBI_0000444	target of material addition role	target of material addition role is a role realized by an entity into which a material is added in a material addition process		http://purl.obolibrary.org/obo/OBI_0000444	false
class	OBI_0000453	measure function	Measure function is a function that is borne by a processed material  and realized in a process in which information about some entity is expressed relative to some reference.		http://purl.obolibrary.org/obo/OBI_0000453	false
class	OBI_0000456	material transformation objective	an objective specifiction that creates an specific output object from input materials.	artifact  creation objective	http://purl.obolibrary.org/obo/OBI_0000456	false
class	OBI_0000471	study design execution	a planned process that realizes the concretization of a study design		http://purl.obolibrary.org/obo/OBI_0000471	false
class	OBI_0000639	material separation objective	is an objective to transform a material entity into spatially separated components.		http://purl.obolibrary.org/obo/OBI_0000639	false
object property	OBI_0000643	has grain	the relation of the cells in the finger of the skin to the finger, in which an indeterminate number of grains are parts of the whole by virtue of being grains in a collective that is part of the whole, and in which removing one granular part does not nec- essarily damage or diminish the whole. Ontological Whether there is a fixed, or nearly fixed number of parts - e.g. fingers of the hand, chambers of the heart, or wheels of a car - such that there can be a notion of a single one being missing, or whether, by contrast, the number of parts is indeterminate - e.g., cells in the skin of the hand, red cells in blood, or rubber molecules in the tread of the tire of the wheel of the car.		http://purl.obolibrary.org/obo/OBI_0000643	false
class	OBI_0000652	material combination	is a material processing with the objective to combine two or more material entities as input into a single material entity as output.		http://purl.obolibrary.org/obo/OBI_0000652	false
class	OBI_0000655	blood specimen	a material entity derived from a portion of blood collected from an organism		http://purl.obolibrary.org/obo/OBI_0000655	false
class	OBI_0000659	specimen collection	A planned process with the objective of collecting a specimen.		http://purl.obolibrary.org/obo/OBI_0000659	false
class	OBI_0000678	portioning objective	A material separation objective aiming to separate material into multiple portions, each of which contains a similar composition of the input material.		http://purl.obolibrary.org/obo/OBI_0000678	false
class	OBI_0000679	average value	A  data item that is produced as the output of an averaging data transformation and represents the average value of the input data.	arithmetic mean	http://purl.obolibrary.org/obo/OBI_0000679	false
class	OBI_0000681	separation into different composition objective	A material separation objective aiming to separate a material entity that has parts of different types, and end with at least one output that is a material with parts of fewer types (modulo impurities).		http://purl.obolibrary.org/obo/OBI_0000681	false
class	OBI_0000684	specimen collection objective	A objective specification to obtain a material entity for potential use as an input during an investigation.		http://purl.obolibrary.org/obo/OBI_0000684	false
class	OBI_0000686	material combination objective	is an objective to obtain an output material that contains several input materials.		http://purl.obolibrary.org/obo/OBI_0000686	false
class	OBI_0000806	material maintenance objective	An objective specification maintains some or all of the qualities of a material over time.		http://purl.obolibrary.org/obo/OBI_0000806	false
class	OBI_0000810	informed consent process	A planned process in which a person or their legal representative is informed about key facts about potential risks and benefits of a process and makes a documented decision as to whether the person in question will participate.		http://purl.obolibrary.org/obo/OBI_0000810	false
class	OBI_0000832	measurement device	A device in which a measure function inheres.		http://purl.obolibrary.org/obo/OBI_0000832	false
object property	OBI_0000833	objective_achieved_by	This relation obtains between a a objective specification and a planned process when the criteria specified in the objective specification are met at the end of the planned process.		http://purl.obolibrary.org/obo/OBI_0000833	false
class	OBI_0000836	test tube	A test tube is a device consisting of a glass or plastic tubing, open at the top, usually with a rounded U-shaped bottom which has the function to contain material	collection tube,sample tube	http://purl.obolibrary.org/obo/OBI_0000836	false
class	OBI_0000838	material maintenance	a process with that achieves the objective to maintain some or all of the characteristics of an input material over time		http://purl.obolibrary.org/obo/OBI_0000838	false
class	OBI_0000915	freezing storage	A storage process in temperature that maintenance the frozen status of the stored entities.		http://purl.obolibrary.org/obo/OBI_0000915	false
class	OBI_0000922	frozen specimen	A specimen that has been frozen in order to store it.		http://purl.obolibrary.org/obo/OBI_0000922	false
class	OBI_0000927	lyophilization storage	a storage process with input material entity and output freeze dried material for long time storage		http://purl.obolibrary.org/obo/OBI_0000927	false
class	OBI_0000932	material separation device	A device with a separation function realized in a planed process		http://purl.obolibrary.org/obo/OBI_0000932	false
class	OBI_0000950	paraffin specimen	a specimen that is output of a paraffin storage process in which specimen is embedded in paraffin		http://purl.obolibrary.org/obo/OBI_0000950	false
class	OBI_0000953	processed specimen	A specimen that has been intentionally physically modified.		http://purl.obolibrary.org/obo/OBI_0000953	false
class	OBI_0000965	lyophilized specimen	a specimen that is output of a lyophilization storage process in which specimen is lyophilized for storage.		http://purl.obolibrary.org/obo/OBI_0000965	false
class	OBI_0000967	container	A device that can be used to restrict the location of material entities over time		http://purl.obolibrary.org/obo/OBI_0000967	false
class	OBI_0000968	device	A material entity that is designed to perform a function in a scientific investigation, but is not a reagent.	instrument	http://purl.obolibrary.org/obo/OBI_0000968	false
class	OBI_0000971	fresh specimen	a specimen that is output of a specimen creation process used for an investigation without storage.		http://purl.obolibrary.org/obo/OBI_0000971	false
class	OBI_0000977	paraffin storage	a storage process with input organism or anatomical entity and paraffin and output material embedded in paraffin for long term storage		http://purl.obolibrary.org/obo/OBI_0000977	false
class	OBI_0000981	agar stab specimen	a specimen that is output of a process that cell culture inoculated into agar for long term storage.		http://purl.obolibrary.org/obo/OBI_0000981	false
class	OBI_0001000	questionnaire	A document with a set of printed or written questions with a choice of answers, devised for the purposes of a survey or statistical study.		http://purl.obolibrary.org/obo/OBI_0001000	false
class	OBI_0001003	agar stab storage	a storage process with input cell culture and agar and output agar stab for long time storage		http://purl.obolibrary.org/obo/OBI_0001003	false
class	OBI_0001472	specimen with known storage state	A specimen for which it is known whether it has been subjected to storage of a specified type.		http://purl.obolibrary.org/obo/OBI_0001472	false
class	OBI_0001479	tissue specimen	A specimen that derives from an anatomical part or substance arising from an organism. Examples of tissue specimen include tissue, organ, physiological system, blood, or body location (arm).		http://purl.obolibrary.org/obo/OBI_0001479	false
class	OBI_0001619	specimen collection time measurement datum	A time measurement datum that is the measure of the time when the specimens are collected.	collection date	http://purl.obolibrary.org/obo/OBI_0001619	false
class	OBI_0001755	selection criterion	A directive information entity which defines and states a principle of standard by which selection process may take place.	selection rule	http://purl.obolibrary.org/obo/OBI_0001755	false
class	OBI_0001909	conclusion based on data	An information content entity that is inferred from data.		http://purl.obolibrary.org/obo/OBI_0001909	false
class	OBI_0001912	cell freezing medium	A processed material that serves as a liquid vehicle for freezing cells for long term quiescent stroage, which contains chemicls needed to sustain cell viability across freeze-thaw cycles. 		http://purl.obolibrary.org/obo/OBI_0001912	false
class	OBI_0001928	selection	A planned process which results in the creation of group of entity from a larger group by the application of predefined criteria.	selection process	http://purl.obolibrary.org/obo/OBI_0001928	false
class	OBI_0001931	scalar value specification	A value specification that consists of two parts: a numeral and a unit label		http://purl.obolibrary.org/obo/OBI_0001931	false
class	OBI_0001933	value specification	An information content entity that specifies a value within a classification scheme or on a quantitative scale.		http://purl.obolibrary.org/obo/OBI_0001933	false
object property	OBI_0001938	has value specification	A relation between an information content entity and a value specification that specifies its value.		http://purl.obolibrary.org/obo/OBI_0001938	false
class	OBI_0100016	blood plasma specimen	a material entity which corresponds to the liquid component of blood, in which the blood cells are suspended.	plasma	http://purl.obolibrary.org/obo/OBI_0100016	false
class	OBI_0100017	blood serum specimen	A material entity which derives from blood and corresponds to blood plasma without fibrinogen or the other clotting factors.		http://purl.obolibrary.org/obo/OBI_0100017	false
class	OBI_0100026	organism	A material entity that is an individual living system, such as animal, plant, bacteria or virus, that is capable of replicating or reproducing, growth and maintenance in the right environment. An organism may be unicellular or made up, like humans, of many billions of cells divided into specialized tissues and organs.		http://purl.obolibrary.org/obo/OBI_0100026	false
class	OBI_0100051	specimen	A material entity that has the specimen role.		http://purl.obolibrary.org/obo/OBI_0100051	false
class	OBI_0100060	cultured cell population	A processed material comprised of a collection of cultured cells that has been continuously maintained together in culture and shares a common propagation history.	cell culture sample	http://purl.obolibrary.org/obo/OBI_0100060	false
class	OBI_0200000	data transformation	A planned process that produces output data from input data.	data processing,data analysis	http://purl.obolibrary.org/obo/OBI_0200000	false
class	OBI_0200166	data transformation objective	An objective specification to transformation input data into output data		http://purl.obolibrary.org/obo/OBI_0200166	false
class	OBI_0200170	averaging data transformation	An averaging data transformation is a data transformation that has objective averaging.		http://purl.obolibrary.org/obo/OBI_0200170	false
class	OBI_0302716	pool of specimens	A pool of specimens is a mixture of a population of samples which have been gathered from one or more sample populations, obtained by the physical process of mixing individual specimens, e.g.  mixing the DNA collected from the individual fish.		http://purl.obolibrary.org/obo/OBI_0302716	false
class	OBI_0302874	edited document	A document which is the output of a document editing process		http://purl.obolibrary.org/obo/OBI_0302874	false
class	OBI_0302885	filtration	filtration is a process which separates components suspended in a fluid based on granularity properties relying on a filter device		http://purl.obolibrary.org/obo/OBI_0302885	false
class	OBI_0302886	centrifugation	centrifugation is a process separating molecules by size or density using centrifugal forces generated by a spinning rotor. G-forces of several hundred thousand times gravity are generated in ultracentrifugation		http://purl.obolibrary.org/obo/OBI_0302886	false
class	OBI_0302893	storage	A maintenance process by which material entities that are not actively metabolizing are placed in well identified location and possibly under controlled environment in ad-hoc devices/structures in order to preserve and protect them from decay/alteration and maintain availability		http://purl.obolibrary.org/obo/OBI_0302893	false
class	OBI_0302908	document editing	is a planned process with specified input original document and specified output edited document		http://purl.obolibrary.org/obo/OBI_0302908	false
class	OBI_0400106	centrifuge	A device with a rapidly rotating container that applies centrifugal force to its contents		http://purl.obolibrary.org/obo/OBI_0400106	false
class	OBI_0500000	study design	A plan specification comprised of protocols (which may specify how and what kinds of data will be gathered) that are executed as part of an investigation and is realized during a study design execution.	experimental design	http://purl.obolibrary.org/obo/OBI_0500000	false
class	OBI_0500026	eligibility criterion	an eligibility criterion (rule) is_a selection criterion which  defines and states the requirements (positive or negative) for an entity to be considered as suitable for a given task or participation in a process. 	eligibility rule	http://purl.obolibrary.org/obo/OBI_0500026	false
class	OBI_0600004	human subject enrollment	A planned process with the objective to obtain a population of human subjects to participate in an investigation by determining eligibility of subjects and obtaining informed consent.		http://purl.obolibrary.org/obo/OBI_0600004	false
class	OBI_0600005	collecting specimen from organism	a process with the objective to obtain a material entity that was part of an organism for potential future use in an investigation		http://purl.obolibrary.org/obo/OBI_0600005	false
class	OBI_0600014	material component separation	a material processing in which components of an input material become segregated in space		http://purl.obolibrary.org/obo/OBI_0600014	false
class	OBI_0600016	pooling specimens	physical combination of several instances of like material	sample pooling	http://purl.obolibrary.org/obo/OBI_0600016	false
class	OBI_0600018	material portioning	a material processing in which the input substance is partitioned into a number of portions that are similar in composition.	aliquoting,apportioning	http://purl.obolibrary.org/obo/OBI_0600018	false
class	OBI_0600024	maintaining cell culture	a protocol application in which cells are kept alive in a defined environment outside of an organism.  part of cell_culturing		http://purl.obolibrary.org/obo/OBI_0600024	false
class	OBI_0600036	establishing cell culture	a process through which a new type of cell culture or cell line is created, either through the isolation and culture of one or more cells from a fresh source, or the deliberate experimental modification of an existing cell culture (e.g passaging a primary culture to become a secondary culture or line, or the immortalization or stable genetic modification of an existing culture or line).		http://purl.obolibrary.org/obo/OBI_0600036	false
class	OBI_0600052	dialysis	a protocol application that uses diffusion through a semi-permeable membrane to separate an input material into two fractions of different composition		http://purl.obolibrary.org/obo/OBI_0600052	false
class	OGMS_0000015	clinical history	A series of statements representing health-relevant qualities of a patient and of a patient's family.		http://purl.obolibrary.org/obo/OGMS_0000015	false
class	OGMS_0000023	phenotype	A (combination of) quality(ies) of an organism determined by the interaction of its genetic make-up and environment that differentiates specific instances of a species from other instances of the same species.		http://purl.obolibrary.org/obo/OGMS_0000023	false
class	PATO_0000047	biological sex	An organismal quality inhering in a bearer by virtue of the bearer's ability to undergo sexual reproduction in order to differentiate the individuals or types involved.		http://purl.obolibrary.org/obo/PATO_0000047	false
class	PATO_0000117	size	A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.		http://purl.obolibrary.org/obo/PATO_0000117	false
class	PATO_0000119	height	A 1-D extent quality inhering in a bearer by virtue of the bearer's vertical dimension of extension.		http://purl.obolibrary.org/obo/PATO_0000119	false
class	PATO_0000128	weight	A physical quality inhering in a bearer that has mass near a gravitational body.		http://purl.obolibrary.org/obo/PATO_0000128	false
class	PATO_0000918	volume	A 3-D extent quality inhering in a bearer by virtue of the bearer's amount of 3-dimensional space it occupies.		http://purl.obolibrary.org/obo/PATO_0000918	false
class	PATO_0001018	physical quality	A quality of a physical entity that exists through action of continuants at the physical level of organisation in relation to other entities.		http://purl.obolibrary.org/obo/PATO_0001018	false
class	PATO_0001237	quality of a single physical entity	A physical object quality which inheres in a single-bearer.		http://purl.obolibrary.org/obo/PATO_0001237	false
class	PATO_0001241	physical object quality	A quality which inheres in a continuant.		http://purl.obolibrary.org/obo/PATO_0001241	false
class	PATO_0001985	frozen	A quality inhering in a bearer by virtue of the bearer's being kept below its freezing point.		http://purl.obolibrary.org/obo/PATO_0001985	false
class	PATO_0001995	organismal quality	A quality that inheres in an entire organism or part of an organism.		http://purl.obolibrary.org/obo/PATO_0001995	false
object property	RO_0001000	derives from			http://purl.obolibrary.org/obo/RO_0001000	false
object property	RO_0002222	temporal relation			http://purl.obolibrary.org/obo/RO_0002222	false
object property	RO_0002223	starts	inverse of starts with		http://purl.obolibrary.org/obo/RO_0002223	false
class	UBERON_0000178	blood	Circulating body substance which consists of blood plasma and hemoglobin-carrying red blood cells. Excludes blood analogues (see UBERON:0000179 haemolymphatic fluid).		http://purl.obolibrary.org/obo/UBERON_0000178	false
class	UO_0000003	time unit	A unit which is a standard measure of the dimension in which events occur in sequence.		http://purl.obolibrary.org/obo/UO_0000003	false
object property	http://purl.obolibrary.org/obo/cl#lacks_part	lacks_part			http://purl.obolibrary.org/obo/cl#lacks_part	false
class	http://vivoweb.org/ontology/core#Laboratory	Laboratory	An organizational unit (as opposed to the physical facility) that performs research, provides services, or processes materials		http://vivoweb.org/ontology/core#Laboratory	false
class	EFO_0004318	smoking behavior		smoking	http://www.ebi.ac.uk/efo/EFO_0004318	false
class	EFO_0004774	chewing tobacco behavior			http://www.ebi.ac.uk/efo/EFO_0004774	false
class	http://www.geneontology.org/formats/oboInOwl#DbXref	DbXref			http://www.geneontology.org/formats/oboInOwl#DbXref	false
class	http://www.geneontology.org/formats/oboInOwl#Definition	Definition			http://www.geneontology.org/formats/oboInOwl#Definition	false
class	http://www.geneontology.org/formats/oboInOwl#Subset	Subset			http://www.geneontology.org/formats/oboInOwl#Subset	false
class	http://www.geneontology.org/formats/oboInOwl#Synonym	Synonym			http://www.geneontology.org/formats/oboInOwl#Synonym	false
class	http://www.geneontology.org/formats/oboInOwl#SynonymType	SynonymType			http://www.geneontology.org/formats/oboInOwl#SynonymType	false
class	http://www.w3.org/2002/07/owl#Thing	Thing			http://www.w3.org/2002/07/owl#Thing	false
object property	http://www.w3.org/2002/07/owl#topObjectProperty	topObjectProperty			http://www.w3.org/2002/07/owl#topObjectProperty	false
subClassOf	is a			rdfs:subClassOf	false
